type, id, url, color, size, other, quality
handbags,3.8204E+11,https://i.ebayimg.com/images/g/UyEAAOSwrddY7mtx/s-l1600.jpg,Yes,No,,No
handbags,3.8204E+11,https://i.ebayimg.com/images/g/E8oAAOSw3utY7mtO/s-l1600.jpg,Yes,No,,No
handbags,3.8204E+11,https://i.ebayimg.com/images/g/5ysAAOSw4CFY7mt6/s-l1600.jpg,Yes,No,,No
handbags,1.22138E+11,https://i.ebayimg.com/images/g/dagAAOSwzaJX3bFC/s-l1600.jpg,Yes,No,,No
handbags,1.22138E+11,https://i.ebayimg.com/images/g/OkgAAOSw8w1X3bFa/s-l1600.jpg,Yes,No,,No
handbags,1.22855E+11,https://i.ebayimg.com/images/g/h4QAAOSwy~BaLfTr/s-l1600.jpg,Yes,No,,No
handbags,1.22855E+11,https://i.ebayimg.com/images/g/hXEAAOSwh1paLfT1/s-l1600.jpg,Yes,No,,No
handbags,1.22855E+11,https://i.ebayimg.com/images/g/ItQAAOSw5dlaLfUQ/s-l1600.jpg,Yes,No,Size Info,No
handbags,1.22855E+11,https://i.ebayimg.com/images/g/BC8AAOSwBkRaLfUr/s-l1600.jpg,Yes,No,,No
handbags,1.22855E+11,https://i.ebayimg.com/images/g/v4gAAOSweLBagQU9/s-l1600.jpg,Yes,No,,no
handbags,1.22799E+11,https://i.ebayimg.com/images/g/TMMAAOSwjM5aA5nU/s-l1600.jpg,No,No,,no
handbags,1.22799E+11,https://i.ebayimg.com/images/g/j2kAAOSw~HBaA5cQ/s-l1600.jpg,No,No,,no
handbags,1.22799E+11,https://i.ebayimg.com/images/g/-nUAAOSwdSRaA5cP/s-l1600.jpg,No,No,,no
handbags,3.23038E+11,https://i.ebayimg.com/images/g/XTwAAOSwISRabuqk/s-l1600.jpg,No,No,,no
handbags,3.23038E+11,https://i.ebayimg.com/images/g/9SAAAOSwU91abuqx/s-l1600.jpg,No,No,,no
handbags,3.23038E+11,https://i.ebayimg.com/images/g/-lMAAOSw6lRabuqr/s-l1600.jpg,No,No,,no
handbags,3.23038E+11,https://i.ebayimg.com/images/g/yEIAAOSww85abuq2/s-l1600.jpg,No,No,,no
handbags,1.22486E+11,https://i.ebayimg.com/images/g/cZQAAOSwRaRZsgxf/s-l1600.jpg,Yes,No,,no
handbags,1.22486E+11,https://i.ebayimg.com/images/g/VGcAAOSwvflZSLfO/s-l1600.jpg,Yes,No,,no
handbags,1.22486E+11,https://i.ebayimg.com/images/g/JzoAAOSwrfVZTLkb/s-l1600.jpg,Yes,No,,no
handbags,1.22486E+11,https://i.ebayimg.com/images/g/rAMAAOSwwzhZXFHQ/s-l1600.jpg,Yes,No,,no
handbags,1.22486E+11,https://i.ebayimg.com/images/g/QpMAAOSw9~5ZTIe6/s-l500.jpg,Yes,No,,no
